Address,City,Price Sold,Bed,Bath,sqft,pricesqft,days on Redfin,catchment
522 WOODLAND Ter,PHILADELPHIA,500000,4,2,1863.00,268.00,274 days,1
4414 LOCUST St,PHILADELPHIA,474000,5,3.5,2250.00,211.00,352 days,1
524 S 45TH St,PHILADELPHIA,520000,5,3.5,2101.00,248.00,743 days,1
1006 S FARRAGUT St,PHILADELPHIA,682000,3,2.5,2300.00,297.00,186 days,1
4200 Pine St Apt 104,,440000,2,2,1001.00,440.00,0,1
408 S 43rd St,,390000,5,1,1610.00,242.00,0,1
331 S 43rd St,,443000,7,2,3120.00,142.00,0,1
4215 Pine St,,768125,5,3,3020.00,254.00,0,1
4211 Regent Sq,,475000,6,2.5,1710.00,278.00,0,1
4335 Baltimore Ave,,525000,5,3,2475.00,212.00,0,1
4207 Baltimore Ave,,499900,5,3,2640.00,189.00,0,1
224-226 S 44TH St,SPRUCE HILL,755000,8,4,3100.00,244.00,,1
1010 S 46th St,,495700,5,3,2700.00,184.00,0,1
1015 Farragut St,,375000,5,4,3000.00,125.00,0,1
4300 SPRUCE St Unit C406,PHILADELPHIA,350000,2,2,1089.00,321.00,43 days,1
407 S 46TH St,PHILADELPHIA,742000,4,2,3087.00,240.00,50 days,1
231 BUCKINGHAM Pl,PHILADELPHIA,727000,5,3.5,2400.00,303.00,50 days,1
512 S MELVILLE St,PHILADELPHIA,410000,3,1.5,1572.00,261.00,50 days,1
4513 OSAGE Ave,PHILADELPHIA,540000,4,1.5,1568.00,344.00,57 days,1
4329 PINE St,PHILADELPHIA,650000,5,3.5,2400.00,271.00,64 days,1
4223 PINE St,PHILADELPHIA,1000000,6,3,3520.00,284.00,85 days,1
4211 BALTIMORE Ave,PHILADELPHIA,545000,5,2.5,2400.00,227.00,92 days,1
1004 S 45TH St,PHILADELPHIA,710000,5,2.5,3225.00,220.00,108 days,1
4646 LARCHWOOD Ave,PHILADELPHIA,750000,5,2.5,2930.00,256.00,109 days,1
509 S MELVILLE St,PHILADELPHIA,580000,3,2,1720.00,337.00,121 days,1
1019 S 46TH St,PHILADELPHIA,759900,7,2,3400.00,224.00,124 days,1
1003-05 S 46TH St #3,PHILADELPHIA,270000,2,1,1250.00,216.00,127 days,1
4238 OSAGE Ave,PHILADELPHIA,460000,2,2,1460.00,315.00,138 days,1
511 S 42ND St,PHILADELPHIA,850000,9,6,3750.00,227.00,142 days,1
4216 OSAGE Ave,PHILADELPHIA,710000,4,2,2064.00,344.00,144 days,1
4231 OSAGE Ave,PHILADELPHIA,641000,3,2,2880.00,223.00,144 days,1
4629 OSAGE Ave,PHILADELPHIA,756000,6,3.5,2685.00,282.00,148 days,1
4603 SPRINGFIELD Ave,PHILADELPHIA,580000,4,2.5,3036.00,191.00,148 days,1
4533 OSAGE Ave,PHILADELPHIA,735000,4,2.5,1880.00,391.00,149 days,1
532 S MELVILLE St,PHILADELPHIA,452500,4,2,1572.00,288.00,151 days,1
4324 LARCHWOOD Ave,PHILADELPHIA,540000,5,2.5,1800.00,300.00,170 days,1
906 S 46TH St,PHILADELPHIA,650000,5,3.5,2970.00,219.00,176 days,1
4508 SPRINGFIELD Ave,PHILADELPHIA,730000,8,3,2764.00,264.00,187 days,1
4627 CEDAR Ave,PHILADELPHIA,800000,5,2.5,2800.00,286.00,194 days,1
228 S 45TH St,PHILADELPHIA,480000,4,3.5,2700.00,178.00,200 days,1
4537 SPRINGFIELD Ave,PHILADELPHIA,487000,2,1,1982.00,246.00,208 days,1
4520 LOCUST St,PHILADELPHIA,585000,7,3.5,2944.00,199.00,215 days,1
1012 S 46TH St,PHILADELPHIA,550000,2,3,2700.00,204.00,222 days,1
4413 BALTIMORE Ave,PHILADELPHIA,745000,6,2,3000.00,248.00,247 days,1
1023 S FARRAGUT St,PHILADELPHIA,650000,4,3.5,2800.00,232.00,303 days,1
4007 WOODLAND Ave,PHILADELPHIA,428000,2,2,1687.00,254.00,344 days,1
4240 PINE St,PHILADELPHIA,888750,5,4.5,3170.00,280.00,383 days,1
4518 WALNUT St,PHILADELPHIA,585000,9,3.5,4320.00,135.00,389 days,1
4300 SPRUCE St Unit B304,PHILADELPHIA,290000,1,1,857.00,338.00,396 days,1
34 UNIVERSITY Mews,PHILADELPHIA,485000,3,2,1472.00,329.00,414 days,1
532 S 45TH St,PHILADELPHIA,615000,4,2,2300.00,267.00,421 days,1
403 S 46TH St,PHILADELPHIA,596000,6,2,3087.00,193.00,422 days,1
4505 SPRUCE St,PHILADELPHIA,613000,6,3,1980.00,310.00,423 days,1
4200 PINE St #101,PHILADELPHIA,290000,1,1,687.00,422.00,424 days,1
1006 S 45TH St,PHILADELPHIA,535000,5,2.5,3060.00,175.00,434 days,1
4300 SPRUCE St Unit A100,PHILADELPHIA,350000,2,2,1171.00,299.00,442 days,1
4215 REGENT Sq,PHILADELPHIA,465000,5,2,1710.00,272.00,444 days,1
4200 PINE St #401,PHILADELPHIA,290000,1,1,657.00,441.00,449 days,1
4625 LARCHWOOD Ave,PHILADELPHIA,640000,6,2.5,2908.00,220.00,452 days,1
4300 SPRUCE St Unit A101,PHILADELPHIA,389900,2,2,1145.00,341.00,470 days,1
4634 LARCHWOOD Ave,PHILADELPHIA,617500,5,2.5,2718.00,227.00,470 days,1
4405 PINE St,PHILADELPHIA,724000,6,2.5,2700.00,268.00,472 days,1
251 S 46TH St,PHILADELPHIA,491000,6,2.5,2955.00,166.00,473 days,1
4244 OSAGE Ave,PHILADELPHIA,555000,3,2.5,1884.00,295.00,491 days,1
410 S 43RD St,PHILADELPHIA,467500,6,2,2100.00,223.00,493 days,1
